Model,BER,Seed,Accuracy
BFAT+Combined+NoRestore,0.06,44,46.67
BFAT+Combined+NoRestore,0.07,42,45.64
BFAT+Combined+NoRestore,0.07,43,50.66
BFAT+Combined+NoRestore,0.07,44,32.17
BFAT+Combined+NoRestore,0.08,42,30.57
BFAT+Combined+NoRestore,0.08,43,41.0
BFAT+Combined+NoRestore,0.08,44,20.11
BFAT+Combined+NoRestore,0.09,42,20.63
BFAT+Combined+NoRestore,0.09,43,27.86
BFAT+Combined+NoRestore,0.09,44,16.01
BFAT+Combined+NoRestore,0.1,42,17.82
BFAT+Combined+NoRestore,0.1,43,25.1
BFAT+Combined+NoRestore,0.1,44,12.9
BFAT_TRUNCATION_ONLY,0.0,42,93.62
BFAT_TRUNCATION_ONLY,0.0,43,93.62
BFAT_TRUNCATION_ONLY,0.0,44,93.62
BFAT_TRUNCATION_ONLY,1e-06,42,93.62
BFAT_TRUNCATION_ONLY,1e-06,43,93.59
BFAT_TRUNCATION_ONLY,1e-06,44,93.66
BFAT_TRUNCATION_ONLY,1e-05,42,93.59
BFAT_TRUNCATION_ONLY,1e-05,43,93.63
BFAT_TRUNCATION_ONLY,1e-05,44,93.53
BFAT_TRUNCATION_ONLY,0.0001,42,93.52
BFAT_TRUNCATION_ONLY,0.0001,43,93.54
BFAT_TRUNCATION_ONLY,0.0001,44,93.61
BFAT_TRUNCATION_ONLY,0.001,42,93.06
BFAT_TRUNCATION_ONLY,0.001,43,93.39
BFAT_TRUNCATION_ONLY,0.001,44,93.57
BFAT_TRUNCATION_ONLY,0.01,42,91.71
BFAT_TRUNCATION_ONLY,0.01,43,91.39
BFAT_TRUNCATION_ONLY,0.01,44,91.11
BFAT_TRUNCATION_ONLY,0.02,42,88.21
BFAT_TRUNCATION_ONLY,0.02,43,88.19
BFAT_TRUNCATION_ONLY,0.02,44,88.63
BFAT_TRUNCATION_ONLY,0.03,42,80.2
BFAT_TRUNCATION_ONLY,0.03,43,83.76
BFAT_TRUNCATION_ONLY,0.03,44,83.77
BFAT_TRUNCATION_ONLY,0.04,42,67.41
BFAT_TRUNCATION_ONLY,0.04,43,75.78
BFAT_TRUNCATION_ONLY,0.04,44,69.32
BFAT_TRUNCATION_ONLY,0.05,42,55.65
BFAT_TRUNCATION_ONLY,0.05,43,63.62
BFAT_TRUNCATION_ONLY,0.05,44,50.34
BFAT_TRUNCATION_ONLY,0.06,42,37.86
BFAT_TRUNCATION_ONLY,0.06,43,40.23
BFAT_TRUNCATION_ONLY,0.06,44,38.66
BFAT_TRUNCATION_ONLY,0.07,42,17.89
BFAT_TRUNCATION_ONLY,0.07,43,29.54
BFAT_TRUNCATION_ONLY,0.07,44,16.47
BFAT_TRUNCATION_ONLY,0.08,42,13.69
BFAT_TRUNCATION_ONLY,0.08,43,21.72
BFAT_TRUNCATION_ONLY,0.08,44,12.3
BFAT_TRUNCATION_ONLY,0.09,42,12.28
BFAT_TRUNCATION_ONLY,0.09,43,17.29
BFAT_TRUNCATION_ONLY,0.09,44,12.43
BFAT_TRUNCATION_ONLY,0.1,42,10.1
BFAT_TRUNCATION_ONLY,0.1,43,15.64
BFAT_TRUNCATION_ONLY,0.1,44,10.06
Baseline,0.0,42,93.96
Baseline,0.0,43,93.96
Baseline,0.0,44,93.96
Baseline,1e-06,42,94.05
Baseline,1e-06,43,93.97
Baseline,1e-06,44,94.02
Baseline,1e-05,42,94.05
Baseline,1e-05,43,94.01
Baseline,1e-05,44,94.02
Baseline,0.0001,42,94.0
Baseline,0.0001,43,93.99
Baseline,0.0001,44,93.98
Baseline,0.001,42,93.68
Baseline,0.001,43,93.7
Baseline,0.001,44,93.72
Baseline,0.01,42,83.96
Baseline,0.01,43,89.38
Baseline,0.01,44,86.01
Baseline,0.02,42,72.57
Baseline,0.02,43,74.59
Baseline,0.02,44,66.15
Baseline,0.03,42,32.46
Baseline,0.03,43,59.12
Baseline,0.03,44,33.1
Baseline,0.04,42,19.5
Baseline,0.04,43,34.55
Baseline,0.04,44,23.31
Baseline,0.05,42,16.62
Baseline,0.05,43,19.77
Baseline,0.05,44,16.61
Baseline,0.06,42,15.17
Baseline,0.06,43,16.18
Baseline,0.06,44,14.24
Baseline,0.07,42,8.22
Baseline,0.07,43,14.95
Baseline,0.07,44,15.32
Baseline,0.08,42,10.59
Baseline,0.08,43,14.23
Baseline,0.08,44,13.42
Baseline,0.09,42,10.73
Baseline,0.09,43,13.02
Baseline,0.09,44,10.92
Baseline,0.1,42,11.05
Baseline,0.1,43,10.4
Baseline,0.1,44,9.99
Max-Magnitude ACC,0.0,MeanOnly,93.0
Max-Magnitude ACC,1e-06,MeanOnly,93.0
Max-Magnitude ACC,1e-05,MeanOnly,93.0
Max-Magnitude ACC,0.0001,MeanOnly,93.0
Max-Magnitude ACC,0.001,MeanOnly,92.0
Max-Magnitude ACC,0.01,MeanOnly,91.0
