exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.0001,88.61,88.54,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.001,88.61,88.2,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.01,88.61,86.28,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.02,88.61,81.77,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.05,88.61,70.09,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.1,88.61,45.22,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,1e-05,88.13,88.13,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.0001,88.13,88.1,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.001,88.13,87.79,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.01,88.13,85.57,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
