exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,1e-05,88.61±0,88.54±0.0182,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.0001,88.61±0,88.48±0.0394,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.001,88.61±0,88.24±0.147,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.01,88.61±0,86.59±0.644,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.02,88.61±0,82.95±1.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.05,88.61±0,70.41±3.84,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.1,88.61±0,41.87±6.55,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,1e-05,88.13±0,88.1±0.0295,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.0001,88.13±0,88.04±0.099,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.001,88.13±0,87.9±0.148,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
