exp_name,lambda_scale,layer,weight_numel,weight_l2,weight_linf,weight_mean_abs,w_scale_len,w_scale_min,w_scale_max,w_scale_mean,w_scale_std,w_init_len,w_init_min,w_init_max,w_init_mean
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.1,16777216,58.382789611816406,0.053914640098810196,0.011558671481907368,5,0.0008798734634183347,0.02610209211707115,0.008416849188506603,0.009312426671385765,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.4,16777216,44.6146354675293,0.05565759912133217,0.008737558498978615,5,0.0010996770579367876,0.024784890934824944,0.008547501638531685,0.008650184608995914,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.6,40960,14.009453773498535,0.7102118730545044,0.04975767061114311,1,0.005586571525782347,0.005586571525782347,0.005586571525782347,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.0,4800,15.27772045135498,0.5173234343528748,0.1668349653482437,1,0.0037775493692606688,0.0037775493692606688,0.0037775493692606688,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.10,589824,33.24747085571289,0.11500167101621628,0.03617701679468155,5,0.0021193972788751125,0.061014994978904724,0.019862636923789978,0.02173578180372715,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.3,307200,32.7190055847168,0.17343321442604065,0.04371842369437218,5,0.0053998855873942375,0.08350618183612823,0.03182044252753258,0.028169836848974228,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.6,663552,34.660865783691406,0.11014702171087265,0.03633052483201027,5,0.00030185666400939226,0.05472850054502487,0.01603824831545353,0.02035689167678356,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.8,884736,36.28630065917969,0.11364710330963135,0.03199489787220955,5,0.0019369903020560741,0.056727778166532516,0.01843375340104103,0.020217178389430046,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.1,16777216,58.28173065185547,0.053914640098810196,0.011644342914223671,5,0.0008211815147660673,0.02456972748041153,0.007897457107901573,0.008771187625825405,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.4,16777216,44.665924072265625,0.05565759912133217,0.008738902397453785,5,0.001188132562674582,0.02522888593375683,0.008696245029568672,0.008805278688669205,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.6,40960,14.119017601013184,0.7405878305435181,0.05021781846880913,1,0.005831631366163492,0.005831631366163492,0.005831631366163492,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.0,4800,15.941607475280762,0.5304921269416809,0.17409054934978485,1,0.003895071567967534,0.003895071567967534,0.003895071567967534,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.10,589824,33.69631576538086,0.12144667655229568,0.036768656224012375,5,0.0022299890406429768,0.060723092406988144,0.019718298688530922,0.021624509245157242,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.3,307200,32.76144790649414,0.17250804603099823,0.0431063249707222,5,0.005229014437645674,0.07905042916536331,0.031230097636580467,0.02669925056397915,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.6,663552,35.56153106689453,0.12427221238613129,0.03550191968679428,5,0.001271576969884336,0.0621308833360672,0.019327271729707718,0.022529274225234985,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.8,884736,36.07672119140625,0.11462116986513138,0.03148414194583893,5,0.002074842806905508,0.0583462156355381,0.019132772460579872,0.020742610096931458,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,classifier.1,16777216,57.74932861328125,0.053914640098810196,0.011461306363344193,5,0.000860689498949796,0.025643114000558853,0.00825198832899332,0.00915045477449894,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,classifier.4,16777216,44.51144027709961,0.05565759912133217,0.00870409607887268,5,0.0012026717886328697,0.025129327550530434,0.008702467195689678,0.008756270632147789,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,classifier.6,40960,13.967894554138184,0.7018598914146423,0.04975994676351547,1,0.005531595554202795,0.005531595554202795,0.005531595554202795,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.0,4800,15.312585830688477,0.47128114104270935,0.16840283572673798,1,0.003345639444887638,0.003345639444887638,0.003345639444887638,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.10,589824,32.76467514038086,0.11444870382547379,0.03551042452454567,5,0.0020966529846191406,0.060658421367406845,0.019782809540629387,0.021608542650938034,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.3,307200,31.724323272705078,0.17324328422546387,0.0422963909804821,5,0.005205128807574511,0.08666221052408218,0.03161159157752991,0.02934899739921093,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.6,663552,33.32581329345703,0.10308056324720383,0.03503716364502907,5,0.0002602780587039888,0.05118951573967934,0.014508837834000587,0.01922757178544998,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.8,884736,36.571842193603516,0.11364710330963135,0.032370664179325104,5,0.0019294368103146553,0.056746821850538254,0.018414702266454697,0.020229872316122055,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.1,16777216,58.84796905517578,0.053914640098810196,0.011652903631329536,5,0.0008841035305522382,0.026228846982121468,0.008450612425804138,0.009356868453323841,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.4,16777216,44.70386505126953,0.05565759912133217,0.008755618706345558,5,0.0011659447336569428,0.024821044877171516,0.008581826463341713,0.008650219067931175,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.6,40960,14.130667686462402,0.6652582883834839,0.05045203119516373,1,0.00524211535230279,0.00524211535230279,0.00524211535230279,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.0,4800,15.716317176818848,0.532746434211731,0.17133542895317078,1,0.0038108874578028917,0.0038108874578028917,0.0038108874578028917,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.10,589824,33.43145751953125,0.12071490287780762,0.03644010052084923,5,0.0020856503397226334,0.06080299988389015,0.01973852887749672,0.02168462425470352,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.3,307200,31.8322696685791,0.17340992391109467,0.041461650282144547,5,0.00535693159326911,0.08670774847269058,0.03208146616816521,0.02926061302423477,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.6,663552,34.12984085083008,0.11610466241836548,0.034709762781858444,5,0.00032027330598793924,0.057917386293411255,0.01706637069582939,0.021468257531523705,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.8,884736,35.814483642578125,0.11364710330963135,0.03146383538842201,5,0.0019676294177770615,0.05641917884349823,0.01843232288956642,0.020079059526324272,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.1,16777216,59.058021545410156,0.053914640098810196,0.011812743730843067,5,0.0008219152805395424,0.024578547105193138,0.007898835465312004,0.00877462886273861,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.4,16777216,44.788108825683594,0.05565759912133217,0.008759275078773499,5,0.001079936628229916,0.025180242955684662,0.008665311150252819,0.008810487575829029,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.6,40960,14.243359565734863,0.6117417812347412,0.05072991922497749,1,0.004801805131137371,0.004801805131137371,0.004801805131137371,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.0,4800,16.434490203857422,0.6700312495231628,0.17693133652210236,1,0.004854305647313595,0.004854305647313595,0.004854305647313595,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.10,589824,33.24122619628906,0.11759210377931595,0.03606441989541054,5,0.002138744806870818,0.060541585087776184,0.019780848175287247,0.02155274711549282,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.3,307200,32.26020050048828,0.17414776980876923,0.04152073338627815,5,0.005436499137431383,0.07837279886007309,0.03136461228132248,0.026421628892421722,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.6,663552,34.71037292480469,0.12493882328271866,0.03426506370306015,5,0.0011281210463494062,0.06243113800883293,0.019326558336615562,0.02269912138581276,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.8,884736,36.306095123291016,0.11364710330963135,0.031957078725099564,5,0.0019239371176809072,0.05648861825466156,0.018345652148127556,0.020142871886491776,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.1,16777216,58.072269439697266,0.053914640098810196,0.011509879492223263,5,0.0008661402389407158,0.025931859388947487,0.008323965594172478,0.00925641879439354,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.4,16777216,44.58785629272461,0.05565759912133217,0.008734429255127907,5,0.0011819051578640938,0.024987243115901947,0.008612630888819695,0.008719886653125286,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.6,40960,14.035825729370117,0.743067741394043,0.050011683255434036,1,0.005852028727531433,0.005852028727531433,0.005852028727531433,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.0,4800,15.736438751220703,0.5141931772232056,0.17235542833805084,1,0.0037361152935773134,0.0037361152935773134,0.0037361152935773134,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.10,589824,33.446048736572266,0.11914253234863281,0.03650461137294769,5,0.002068634144961834,0.060243427753448486,0.01954535022377968,0.02147468365728855,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.3,307200,33.05197525024414,0.17276717722415924,0.04390193894505501,5,0.0053334967233240604,0.08138329535722733,0.03169703856110573,0.027477240189909935,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.6,663552,35.658042907714844,0.12026793509721756,0.03610869497060776,5,0.0011084723519161344,0.060096800327301025,0.01856391131877899,0.02185366116464138,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.8,884736,36.01122283935547,0.11362925171852112,0.0315859392285347,5,0.002013525227084756,0.056906502693891525,0.018671449273824692,0.020236974582076073,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.1,16777216,59.241432189941406,0.053914640098810196,0.011708550155162811,5,0.0008900004322640598,0.02647324837744236,0.008530703373253345,0.009444786235690117,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.4,16777216,44.74909210205078,0.05565759912133217,0.008756284601986408,5,0.001220410456880927,0.024986974895000458,0.008681920357048512,0.008691975846886635,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.6,40960,14.116812705993652,0.6447564363479614,0.05029548332095146,1,0.0050808945670723915,0.0050808945670723915,0.0050808945670723915,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.0,4800,16.02898597717285,0.5959898829460144,0.17441384494304657,1,0.004371383227407932,0.004371383227407932,0.004371383227407932,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.10,589824,33.441802978515625,0.11501579731702805,0.03675290569663048,5,0.0021172836422920227,0.058794356882572174,0.019060086458921432,0.02094854600727558,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.3,307200,33.225650787353516,0.17317062616348267,0.045000337064266205,5,0.005304824095219374,0.0835997462272644,0.03126849606633186,0.02815217152237892,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.6,663552,36.04566192626953,0.11896442621946335,0.03683201223611832,5,0.0012254215544089675,0.059478990733623505,0.01855040341615677,0.021561890840530396,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.8,884736,35.874732971191406,0.11364710330963135,0.03161972388625145,5,0.0019389105727896094,0.05568272992968559,0.018221581354737282,0.019816452637314796,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.1,16777216,57.8321647644043,0.053914640098810196,0.011418702080845833,5,0.0008999172132462263,0.0265499334782362,0.008571271784603596,0.009467930532991886,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.4,16777216,44.51565170288086,0.05565759912133217,0.008709140121936798,5,0.0012220977805554867,0.024898404255509377,0.008661696687340736,0.008642461150884628,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.6,40960,13.909811019897461,0.7339673042297363,0.04947160929441452,1,0.00578806409612298,0.00578806409612298,0.00578806409612298,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.0,4800,15.393207550048828,0.5643483400344849,0.1675354689359665,1,0.0040394943207502365,0.0040394943207502365,0.0040394943207502365,0.0,1,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.10,589824,32.98121643066406,0.11189204454421997,0.03568141162395477,5,0.0021549861412495375,0.0612851046025753,0.020061342045664787,0.02181578427553177,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.3,307200,32.09138488769531,0.1694190800189972,0.04307005926966667,5,0.0052632857114076614,0.08015231043100357,0.03096270002424717,0.027035901322960854,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.6,663552,33.39205551147461,0.10071421414613724,0.035416241735219955,5,0.00023551438061986119,0.04987054690718651,0.013991092331707478,0.018785132095217705,5,1.0,1.0,1.0
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.8,884736,36.606201171875,0.11423840373754501,0.0323091484606266,5,0.001976430881768465,0.05789318308234215,0.01879892684519291,0.0206332765519619,5,1.0,1.0,1.0
