exp_name,lambda_scale,layer,is_dynamic_s,s_len,s_active_wbit,s_active,s_active_sq,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.6,1,5,6,0.0002602780587039888,6.774466498882248e-08,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,features.8,1,5,6,0.0019294368103146553,3.722726432897616e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.1,1,5,6,0.0008841035305522382,7.816390734660672e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.4,1,5,6,0.0011659447336569428,1.3594270740213688e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,classifier.6,0,1,,0.00524211535230279,2.747977305261884e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.0,0,1,,0.0038108874578028917,1.452286323910812e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.10,1,5,6,0.0020856503397226334,4.349937171355123e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.3,1,5,6,0.00535693159326911,2.8696716981357895e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.6,1,5,6,0.00032027330598793924,1.0257499383214963e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,features.8,1,5,6,0.0019676294177770615,3.871565695590107e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.1,1,5,6,0.0008219152805395424,6.755447543582704e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
