[features.0] Epoch 1/20, Loss=33.195175
[features.0] Epoch 2/20, Loss=7.879842
[features.0] Epoch 3/20, Loss=6.646430
[features.0] Epoch 4/20, Loss=4.603112
[features.0] Epoch 5/20, Loss=2.615363
[features.0] Epoch 6/20, Loss=2.363652
[features.0] Epoch 7/20, Loss=2.314181
[features.0] Epoch 8/20, Loss=2.301375
[features.0] Epoch 9/20, Loss=2.305384
[features.0] Epoch 10/20, Loss=2.301177
[features.0] Epoch 11/20, Loss=2.297815
[features.0] Epoch 12/20, Loss=2.296412
[features.0] Epoch 13/20, Loss=2.298453
[features.0] Epoch 14/20, Loss=2.296563
[features.0] Epoch 15/20, Loss=2.293837
[features.0] Epoch 16/20, Loss=2.296110
[features.0] Epoch 17/20, Loss=2.297821
[features.0] Epoch 18/20, Loss=2.296212
[features.0] Epoch 19/20, Loss=2.294362
[features.0] Epoch 20/20, Loss=2.295110
[classifier.1] Epoch 1/20, Loss=1.602543
[classifier.1] Epoch 2/20, Loss=0.200054
[classifier.1] Epoch 3/20, Loss=0.189834
[classifier.1] Epoch 4/20, Loss=0.181930
[classifier.1] Epoch 5/20, Loss=0.176018
[classifier.1] Epoch 6/20, Loss=0.171950
[classifier.1] Epoch 7/20, Loss=0.168531
[classifier.1] Epoch 8/20, Loss=0.166139
[classifier.1] Epoch 9/20, Loss=0.163792
[classifier.1] Epoch 10/20, Loss=0.162041
[classifier.1] Epoch 11/20, Loss=0.160404
[classifier.1] Epoch 12/20, Loss=0.158762
[classifier.1] Epoch 13/20, Loss=0.157541
[classifier.1] Epoch 14/20, Loss=0.156533
[classifier.1] Epoch 15/20, Loss=0.155426
[classifier.1] Epoch 16/20, Loss=0.154652
[classifier.1] Epoch 17/20, Loss=0.153898
[classifier.1] Epoch 18/20, Loss=0.153073
[classifier.1] Epoch 19/20, Loss=0.152361
[classifier.1] Epoch 20/20, Loss=0.152028
Saved repair head state dict to learning_heads/repair_20251122-205334.pt
