[features.0] Epoch 1/50, Loss=8.822908, LR=9.99e-03
[features.0] Epoch 2/50, Loss=3.417446, LR=9.96e-03
[features.0] Epoch 3/50, Loss=3.204541, LR=9.91e-03
[features.0] Epoch 4/50, Loss=3.074508, LR=9.84e-03
[features.0] Epoch 5/50, Loss=3.009330, LR=9.76e-03
[features.0] Epoch 6/50, Loss=2.953766, LR=9.65e-03
[features.0] Epoch 7/50, Loss=2.925332, LR=9.53e-03
[features.0] Epoch 8/50, Loss=2.920514, LR=9.39e-03
[features.0] Epoch 9/50, Loss=2.870349, LR=9.23e-03
[features.0] Epoch 10/50, Loss=2.822497, LR=9.05e-03
[features.0] Epoch 11/50, Loss=2.817712, LR=8.86e-03
[features.0] Epoch 12/50, Loss=2.813730, LR=8.66e-03
[features.0] Epoch 13/50, Loss=2.811438, LR=8.44e-03
[features.0] Epoch 14/50, Loss=2.809889, LR=8.21e-03
[features.0] Epoch 15/50, Loss=2.806645, LR=7.96e-03
[features.0] Epoch 16/50, Loss=2.806043, LR=7.70e-03
[features.0] Epoch 17/50, Loss=2.804764, LR=7.43e-03
[features.0] Epoch 18/50, Loss=2.803447, LR=7.16e-03
[features.0] Epoch 19/50, Loss=2.802194, LR=6.87e-03
[features.0] Epoch 20/50, Loss=2.800557, LR=6.58e-03
[features.0] Epoch 21/50, Loss=2.799693, LR=6.28e-03
[features.0] Epoch 22/50, Loss=2.799474, LR=5.98e-03
[features.0] Epoch 23/50, Loss=2.798118, LR=5.67e-03
[features.0] Epoch 24/50, Loss=2.797583, LR=5.36e-03
[features.0] Epoch 25/50, Loss=2.797034, LR=5.05e-03
[features.0] Epoch 26/50, Loss=2.796498, LR=4.74e-03
[features.0] Epoch 27/50, Loss=2.795922, LR=4.43e-03
[features.0] Epoch 28/50, Loss=2.795426, LR=4.12e-03
[features.0] Epoch 29/50, Loss=2.795117, LR=3.82e-03
[features.0] Epoch 30/50, Loss=2.794564, LR=3.52e-03
[features.0] Epoch 31/50, Loss=2.794366, LR=3.23e-03
[features.0] Epoch 32/50, Loss=2.794071, LR=2.94e-03
[features.0] Epoch 33/50, Loss=2.793455, LR=2.67e-03
[features.0] Epoch 34/50, Loss=2.793448, LR=2.40e-03
[features.0] Epoch 35/50, Loss=2.793160, LR=2.14e-03
[features.0] Epoch 36/50, Loss=2.792869, LR=1.89e-03
[features.0] Epoch 37/50, Loss=2.792634, LR=1.66e-03
[features.0] Epoch 38/50, Loss=2.792406, LR=1.44e-03
[features.0] Epoch 39/50, Loss=2.792281, LR=1.24e-03
[features.0] Epoch 40/50, Loss=2.792104, LR=1.05e-03
[features.0] Epoch 41/50, Loss=2.791966, LR=8.71e-04
[features.0] Epoch 42/50, Loss=2.791797, LR=7.12e-04
[features.0] Epoch 43/50, Loss=2.791730, LR=5.71e-04
[features.0] Epoch 44/50, Loss=2.791694, LR=4.48e-04
[features.0] Epoch 45/50, Loss=2.791594, LR=3.42e-04
[features.0] Epoch 46/50, Loss=2.791528, LR=2.56e-04
[features.0] Epoch 47/50, Loss=2.791470, LR=1.88e-04
[features.0] Epoch 48/50, Loss=2.791456, LR=1.39e-04
[features.0] Epoch 49/50, Loss=2.791418, LR=1.10e-04
[features.0] Epoch 50/50, Loss=2.791394, LR=1.00e-04
[classifier.1] Epoch 1/50, Loss=1.982987, LR=9.99e-03
[classifier.1] Epoch 2/50, Loss=0.289501, LR=9.96e-03
[classifier.1] Epoch 3/50, Loss=0.286898, LR=9.91e-03
[classifier.1] Epoch 4/50, Loss=0.286798, LR=9.84e-03
[classifier.1] Epoch 5/50, Loss=0.286763, LR=9.76e-03
[classifier.1] Epoch 6/50, Loss=0.286860, LR=9.65e-03
[classifier.1] Epoch 7/50, Loss=0.286812, LR=9.53e-03
[classifier.1] Epoch 8/50, Loss=0.286787, LR=9.39e-03
[classifier.1] Epoch 9/50, Loss=0.286845, LR=9.23e-03
[classifier.1] Epoch 10/50, Loss=0.286867, LR=9.05e-03
[classifier.1] Epoch 11/50, Loss=0.286797, LR=8.86e-03
[classifier.1] Epoch 12/50, Loss=0.286755, LR=8.66e-03
[classifier.1] Epoch 13/50, Loss=0.286853, LR=8.44e-03
[classifier.1] Epoch 14/50, Loss=0.286959, LR=8.21e-03
[classifier.1] Epoch 15/50, Loss=0.286918, LR=7.96e-03
[classifier.1] Epoch 16/50, Loss=0.286793, LR=7.70e-03
[classifier.1] Epoch 17/50, Loss=0.286827, LR=7.43e-03
[classifier.1] Epoch 18/50, Loss=0.286894, LR=7.16e-03
[classifier.1] Epoch 19/50, Loss=0.286897, LR=6.87e-03
[classifier.1] Epoch 20/50, Loss=0.286797, LR=6.58e-03
[classifier.1] Epoch 21/50, Loss=0.286805, LR=6.28e-03
[classifier.1] Epoch 22/50, Loss=0.286743, LR=5.98e-03
[classifier.1] Epoch 23/50, Loss=0.286718, LR=5.67e-03
[classifier.1] Epoch 24/50, Loss=0.286736, LR=5.36e-03
[classifier.1] Epoch 25/50, Loss=0.286798, LR=5.05e-03
[classifier.1] Epoch 26/50, Loss=0.286774, LR=4.74e-03
[classifier.1] Epoch 27/50, Loss=0.286730, LR=4.43e-03
[classifier.1] Epoch 28/50, Loss=0.286697, LR=4.12e-03
[classifier.1] Epoch 29/50, Loss=0.286699, LR=3.82e-03
[classifier.1] Epoch 30/50, Loss=0.286732, LR=3.52e-03
[classifier.1] Epoch 31/50, Loss=0.286672, LR=3.23e-03
[classifier.1] Epoch 32/50, Loss=0.286709, LR=2.94e-03
[classifier.1] Epoch 33/50, Loss=0.286662, LR=2.67e-03
[classifier.1] Epoch 34/50, Loss=0.286685, LR=2.40e-03
[classifier.1] Epoch 35/50, Loss=0.286732, LR=2.14e-03
[classifier.1] Epoch 36/50, Loss=0.286673, LR=1.89e-03
[classifier.1] Epoch 37/50, Loss=0.286649, LR=1.66e-03
[classifier.1] Epoch 38/50, Loss=0.286649, LR=1.44e-03
[classifier.1] Epoch 39/50, Loss=0.286644, LR=1.24e-03
[classifier.1] Epoch 40/50, Loss=0.286676, LR=1.05e-03
[classifier.1] Epoch 41/50, Loss=0.286646, LR=8.71e-04
[classifier.1] Epoch 42/50, Loss=0.286633, LR=7.12e-04
[classifier.1] Epoch 43/50, Loss=0.286628, LR=5.71e-04
