[features.0] Epoch 97/100, Loss=2.887254, LR=2.32e-04
[features.0] Epoch 98/100, Loss=2.887219, LR=1.09e-04
[features.0] Epoch 99/100, Loss=2.887201, LR=3.47e-05
[features.0] Epoch 100/100, Loss=2.887194, LR=1.00e-05
[classifier.1] Epoch 1/100, Loss=0.395873, LR=1.00e-01
[classifier.1] Epoch 2/100, Loss=0.301068, LR=9.99e-02
[classifier.1] Epoch 3/100, Loss=0.287814, LR=9.98e-02
[classifier.1] Epoch 4/100, Loss=0.287272, LR=9.96e-02
[classifier.1] Epoch 5/100, Loss=0.288231, LR=9.94e-02
[classifier.1] Epoch 6/100, Loss=0.287543, LR=9.91e-02
[classifier.1] Epoch 7/100, Loss=0.287383, LR=9.88e-02
[classifier.1] Epoch 8/100, Loss=0.287969, LR=9.84e-02
[classifier.1] Epoch 9/100, Loss=0.287593, LR=9.80e-02
[classifier.1] Epoch 10/100, Loss=0.287116, LR=9.76e-02
[classifier.1] Epoch 11/100, Loss=0.287067, LR=9.70e-02
[classifier.1] Epoch 12/100, Loss=0.287438, LR=9.65e-02
[classifier.1] Epoch 13/100, Loss=0.287236, LR=9.59e-02
[classifier.1] Epoch 14/100, Loss=0.286920, LR=9.52e-02
[classifier.1] Epoch 15/100, Loss=0.286955, LR=9.46e-02
[classifier.1] Epoch 16/100, Loss=0.286839, LR=9.38e-02
[classifier.1] Epoch 17/100, Loss=0.287022, LR=9.30e-02
[classifier.1] Epoch 18/100, Loss=0.286983, LR=9.22e-02
[classifier.1] Epoch 19/100, Loss=0.287073, LR=9.14e-02
[classifier.1] Epoch 20/100, Loss=0.286845, LR=9.05e-02
[classifier.1] Epoch 21/100, Loss=0.286922, LR=8.95e-02
[classifier.1] Epoch 22/100, Loss=0.286938, LR=8.85e-02
[classifier.1] Epoch 23/100, Loss=0.286880, LR=8.75e-02
[classifier.1] Epoch 24/100, Loss=0.286876, LR=8.64e-02
[classifier.1] Epoch 25/100, Loss=0.286810, LR=8.54e-02
[classifier.1] Epoch 26/100, Loss=0.286829, LR=8.42e-02
[classifier.1] Epoch 27/100, Loss=0.286821, LR=8.31e-02
[classifier.1] Epoch 28/100, Loss=0.286881, LR=8.19e-02
[classifier.1] Epoch 29/100, Loss=0.286815, LR=8.06e-02
[classifier.1] Epoch 30/100, Loss=0.286809, LR=7.94e-02
[classifier.1] Epoch 31/100, Loss=0.286782, LR=7.81e-02
[classifier.1] Epoch 32/100, Loss=0.286813, LR=7.68e-02
[classifier.1] Epoch 33/100, Loss=0.286780, LR=7.55e-02
[classifier.1] Epoch 34/100, Loss=0.286764, LR=7.41e-02
[classifier.1] Epoch 35/100, Loss=0.286794, LR=7.27e-02
[classifier.1] Epoch 36/100, Loss=0.286771, LR=7.13e-02
[classifier.1] Epoch 37/100, Loss=0.286760, LR=6.99e-02
[classifier.1] Epoch 38/100, Loss=0.286752, LR=6.84e-02
[classifier.1] Epoch 39/100, Loss=0.286765, LR=6.69e-02
[classifier.1] Epoch 40/100, Loss=0.286756, LR=6.55e-02
[classifier.1] Epoch 41/100, Loss=0.286758, LR=6.40e-02
[classifier.1] Epoch 42/100, Loss=0.286781, LR=6.24e-02
[classifier.1] Epoch 43/100, Loss=0.286751, LR=6.09e-02
[classifier.1] Epoch 44/100, Loss=0.286747, LR=5.94e-02
[classifier.1] Epoch 45/100, Loss=0.286730, LR=5.78e-02
[classifier.1] Epoch 46/100, Loss=0.286732, LR=5.63e-02
[classifier.1] Epoch 47/100, Loss=0.286739, LR=5.47e-02
[classifier.1] Epoch 48/100, Loss=0.286731, LR=5.31e-02
[classifier.1] Epoch 49/100, Loss=0.286729, LR=5.16e-02
[classifier.1] Epoch 50/100, Loss=0.286718, LR=5.00e-02
[classifier.1] Epoch 51/100, Loss=0.286727, LR=4.84e-02
[classifier.1] Epoch 52/100, Loss=0.286719, LR=4.69e-02
[classifier.1] Epoch 53/100, Loss=0.286732, LR=4.53e-02
[classifier.1] Epoch 54/100, Loss=0.286712, LR=4.37e-02
[classifier.1] Epoch 55/100, Loss=0.286713, LR=4.22e-02
[classifier.1] Epoch 56/100, Loss=0.286713, LR=4.06e-02
[classifier.1] Epoch 57/100, Loss=0.286715, LR=3.91e-02
[classifier.1] Epoch 58/100, Loss=0.286703, LR=3.76e-02
[classifier.1] Epoch 59/100, Loss=0.286706, LR=3.61e-02
[classifier.1] Epoch 60/100, Loss=0.286703, LR=3.46e-02
[classifier.1] Epoch 61/100, Loss=0.286703, LR=3.31e-02
